Url,StatusCode,HeaderDurationMs,BodyDurationMs
https://api.nuget.org/v3-flatcontainer/nuget.configuration/index.json,200,83.9487,0.0633
https://api.nuget.org/v3-flatcontainer/nuget.packaging/index.json,200,86.2845,0.0566
https://api.nuget.org/v3-flatcontainer/nuget.configuration/5.6.0/nuget.configuration.5.6.0.nupkg,200,41.8459,38.0761
https://api.nuget.org/v3-flatcontainer/nuget.packaging/5.6.0/nuget.packaging.5.6.0.nupkg,200,36.8103,61.5311
https://api.nuget.org/v3-flatcontainer/nuget.common/index.json,200,82.8723,0.0471
https://api.nuget.org/v3-flatcontainer/nuget.versioning/index.json,200,85.5832,0.0756
https://api.nuget.org/v3-flatcontainer/nuget.common/5.6.0/nuget.common.5.6.0.nupkg,200,33.5584,2.9891
https://api.nuget.org/v3-flatcontainer/nuget.versioning/5.6.0/nuget.versioning.5.6.0.nupkg,200,36.9863,1.8961
https://api.nuget.org/v3-flatcontainer/nuget.frameworks/index.json,200,121.4349,0.0697
https://api.nuget.org/v3-flatcontainer/nuget.frameworks/5.6.0/nuget.frameworks.5.6.0.nupkg,200,39.3784,62.9867
