Machine Name,Client Name,Client Version,Solution Name,Timestamp (UTC),Iteration,Iteration Count,Scenario Name,Variant Name,Total Time (seconds),Project Restore Count,Max Project Restore Time (seconds),Sum Project Restore Time (seconds),Average Project Restore Time (seconds),Force,Global Packages Folder .nupkg Count,Global Packages Folder .nupkg Size (MB),Global Packages Folder File Count,Global Packages Folder File Size (MB),Clean Global Packages Folder,HTTP Cache File Count,HTTP Cache File Size (MB),Clean HTTP Cache,Plugins Cache File Count,Plugins Cache File Size (MB),Clean Plugins Cache,Kill MSBuild and dotnet Processes,Processor Name,Processor Physical Core Count,Processor Logical Core Count,Log File Name
AMARANTH,nuget.exe,5.5.1.6542,ExampleProj,2020-05-30T20:43:39.6030969Z,1,1,warmup,teste2e,5.4028966,1,2.8,2.8,2.8,False,5,1.219797,47,4.823849,True,11,1.221282,True,0,0,True,True,,,,restoreLog-teste2e-ExampleProj-20200530T2043457721.txt
AMARANTH,nuget.exe,5.5.1.6542,ExampleProj,2020-05-30T20:43:39.6030969Z,1,2,arctic,teste2e,5.961025,1,2.97,2.97,2.97,False,5,1.219797,47,4.823849,True,11,1.221282,True,0,0,True,True,,,,restoreLog-teste2e-ExampleProj-20200530T2043539613.txt
AMARANTH,nuget.exe,5.5.1.6542,ExampleProj,2020-05-30T20:43:39.6030969Z,2,2,arctic,teste2e,5.3254538,1,2.47,2.47,2.47,False,5,1.219797,47,4.823849,True,11,1.221282,True,0,0,True,True,,,,restoreLog-teste2e-ExampleProj-20200530T2044012767.txt
